SiteTag,SampleDate,Metric1_TRC,Metric2_VCS,Metric3_VCQ,Metric4_AGNR,Metric5_RVW,Metric6_RSCVC,Metric7_MHPR,Metric81_hymod,Metric_82_hymod,Metric8_final,Idx_Score,masterid,latitude,longitude,huc,county,smcshed,stationcode,comid
305FRA,7/6/17,0,75,0,25,0,25,25,0,50,25,21.875,305FRA,36.96342,-121.49082,305,Santa Clara,SMC_out,305MILFLR,17665471
305PAC,7/26/17,75,100,50,75,75,75,75,100,100,100,78.125,305PAC,36.94416,-121.38375,305,San Benito,SMC_out,305PAC,17663037
307CMN,11/10/15,100,100,75,100,87.5,87.5,100,100,100,100,93.75,307CMN,36.3992,-121.66046,307,Monterey,SMC_out,307CARCAC,17600733
307CMU,4/27/15,100,100,50,75,62.5,50,100,50,100,75,76.5625,307CMU,36.47435,-121.72751,307,Monterey,SMC_out,307CMU,17600475
308BGC,8/23/14,80,100,100,100,62.5,75,100,100,100,100,89.6875,308BGC,36.0709,-121.59807,308,Monterey,SMC_out,308BGCxxx,8189139
308BGC,6/16/18,100,100,75,50,75,75,75,100,75,87.5,79.6875,308BGC,36.0709,-121.59807,308,Monterey,SMC_out,308BGCxxx,8189139
308BSR,7/20/18,100,100,75,100,75,100,100,100,100,100,93.75,308BSR,36.28659,-121.84304,308,Monterey,SMC_out,308BSR,8188861
308WLO,5/21/18,100,100,50,50,87.5,100,75,100,100,100,82.8125,308WLO,35.89369,-121.45966,308,Monterey,SMC_out,308WLOxxx,8191227
309ANT,5/8/18,75,25,0,75,100,100,75,100,100,100,68.75,309ANT,35.896529,-121.088866,309,Monterey,SMC_out,309ANT,8210405
309DAV,7/13/17,75,100,25,100,25,87.5,50,50,100,75,67.1875,309DAV,36.6468,-121.70138,309,Monterey,SMC_out,309DAV,8200471
309DAV,5/14/18,0,100,0,50,25,100,50,0,50,25,43.75,309DAV,36.6468,-121.70138,309,Monterey,SMC_out,309DAV,8200471
309GRN,7/26/18,0,25,0,50,50,75,50,75,100,87.5,42.1875,309GRN,36.33769,-121.20518,309,Monterey,SMC_out,309GRN,948060268
309LOR,6/5/15,75,0,0,25,100,75,75,100,100,100,56.25,309LOR,36.26731,-121.0683,309,Monterey,SMC_out,309SANBWR,8205487
309NAF,5/9/18,100,100,100,75,75,75,100,100,100,100,90.625,309NAF,36.014016,-121.412043,309,Monterey,SMC_out,309NAF,8204575
309PSO,9/18/14,60,60,0,75,25,75,50,50,100,75,52.5,309PSO,35.62849,-120.6834,309,San Luis Obispo,SMC_out,309PSO,8212843
309SAC,9/9/14,60,40,0,50,37.5,75,50,25,50,37.5,43.75,309SAC,36.55375,-121.54773,309,Monterey,SMC_out,309SAC,8201861
309SAC,7/23/18,75,100,0,50,25,75,50,75,100,87.5,57.8125,309SAC,36.55375,-121.54773,309,Monterey,SMC_out,309SAC,8201861
309SEC,9/19/14,0,40,100,50,75,75,100,75,100,87.5,65.9375,309SEC,36.28052,-121.32153,309,Monterey,SMC_out,SEDTMDL_57,8205291
309SEC,5/22/18,50,100,100,75,62.5,100,100,100,100,100,85.9375,309SEC,36.28052,-121.32153,309,Monterey,SMC_out,SEDTMDL_57,8205291
309SET,6/5/15,0,0,0,25,12.5,37.5,75,50,0,25,21.875,309SET,36.32146,-121.2945,309,Monterey,SMC_out,309SET,8202939
309SET,7/26/18,0,25,0,25,25,50,75,0,75,37.5,29.6875,309SET,36.32146,-121.2945,309,Monterey,SMC_out,309SET,8202939
310COO,5/5/16,100,100,100,75,100,100,100,100,100,100,96.875,310COO,35.25475,-120.88549,310,San Luis Obispo,SMC_out,310COOxxx,8193645
310SLC,11/3/15,0,75,100,50,25,50,75,50,100,75,56.25,310SLC,35.29419,-120.64142,310,San Luis Obispo,SMC_out,310SLC,8192659
312CAV,5/12/15,100,100,50,75,100,100,75,100,100,100,87.5,312CAV,34.68818598,-119.357903,312,Ventura,SMC_out,312CAV,17637968
312CUT,5/6/15,0,0,0,25,25,25,25,75,75,75,21.875,312CUT,34.90551,-120.30267,312,Santa Barbara,SMC_out,312CUT,17635024
312HUA,5/5/15,75,50,50,50,100,100,100,100,100,100,78.125,312HUA,35.08665,-120.36816,312,San Luis Obispo,SMC_out,312HUAHUT,17633096
315CAP,5/6/15,100,100,100,75,87.5,100,100,75,75,75,92.1875,315CAP,34.46042,-120.02177,315,Santa Barbara,SMC_out,315CAP,17594801
201MRS020,10/27/20,100,100,100,75,100,100,100,NA,NA,100,96.875,201MRS020,37.9201,-122.66887,201,Marin,SMC_out,201MRS020,5330517
205R01454,10/28/20,0,0,0,0,0,0,50,NA,NA,0,6.25,205R01454,37.5036,-121.9622,205,Alameda,SMC_out,205R01454,17692585
519PS0834,11/10/20,0,25,0,37.5,62.5,100,75,NA,NA,100,50,519PS0834,38.75942006,-121.2649267,519,Placer,SMC_out,519PS0834,15024787
519PS0897,11/10/20,0,0,0,0,0,0,75,NA,NA,25,12.5,519PS0897,38.62792472,-121.4377626,519,Sacramento,SMC_out,519PS0897,15022679
309PS0370,11/17/20,75,100,50,100,100,75,75,NA,NA,100,84.375,309PS0370,36.64939198,-121.7078564,309,Monterey,SMC_out,309PS0370,8200463
309SARNLW,11/17/20,100,100,50,100,100,100,100,NA,NA,100,93.75,309SARNLW,35.8966,-121.0882,309,Monterey,SMC_out,309SARNLW,8210533
